epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9049,1.04469,2.63498,1.36615,0.64047,0.39922,0.4778,0.30714,1.11517,2.21861,1.45515,0.000366125,0.000366125,0.000366125
2,47.9748,1.10939,2.00743,1.3961,0.65397,0.36165,0.40675,0.22248,1.42081,2.44454,1.83651,0.000721876,0.000721876,0.000721876
3,64.1218,1.22096,2.0426,1.47012,0.38749,0.38135,0.3768,0.20166,1.45816,2.19796,1.73897,0.00106296,0.00106296,0.00106296
4,80.2998,1.21763,1.90575,1.47816,0.50912,0.43794,0.41067,0.24226,1.43559,2.04289,1.73484,0.00104501,0.00104501,0.00104501
5,96.1228,1.22248,1.8113,1.46641,0.58191,0.4682,0.50052,0.2973,1.34723,1.72733,1.69676,0.00102301,0.00102301,0.00102301
6,112.091,1.2086,1.7744,1.46356,0.60797,0.52484,0.55541,0.34581,1.33023,1.65967,1.62833,0.00100101,0.00100101,0.00100101
7,128.014,1.1693,1.65027,1.44435,0.71334,0.46796,0.53982,0.31768,1.41274,1.66158,1.84923,0.000979013,0.000979013,0.000979013
8,146.964,1.13365,1.5628,1.42596,0.76846,0.52255,0.60741,0.37967,1.27527,1.50406,1.60939,0.000957015,0.000957015,0.000957015
9,163.288,1.1002,1.45358,1.37566,0.65331,0.57621,0.6106,0.39553,1.22257,1.4924,1.56118,0.000935018,0.000935018,0.000935018
10,179.868,1.12726,1.44729,1.39378,0.61109,0.57425,0.60481,0.38351,1.27052,1.52375,1.58575,0.00091302,0.00091302,0.00091302
11,195.858,1.08171,1.39345,1.37521,0.54356,0.50709,0.54541,0.35181,1.25246,1.43831,1.56576,0.000891022,0.000891022,0.000891022
12,211.977,1.07628,1.33389,1.36268,0.69603,0.56942,0.62977,0.41975,1.22361,1.32951,1.55177,0.000869024,0.000869024,0.000869024
13,228.111,1.04729,1.34856,1.35013,0.6899,0.56061,0.62832,0.40048,1.24856,1.41002,1.55372,0.000847026,0.000847026,0.000847026
14,244.102,1.04895,1.34133,1.36771,0.65948,0.54464,0.60171,0.40737,1.21927,1.42884,1.57882,0.000825029,0.000825029,0.000825029
15,260.251,1.03059,1.27346,1.3447,0.70513,0.51816,0.6029,0.40753,1.23311,1.40089,1.57278,0.000803031,0.000803031,0.000803031
16,276.334,1.01002,1.24943,1.33826,0.74993,0.51096,0.6166,0.40381,1.22763,1.36475,1.52871,0.000781033,0.000781033,0.000781033
