epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.908,0.88897,5.88949,0.01343,0.59843,0.17435,0.13619,0.10071,0.8425,2.59082,0.01908,0.000138683,0.000138683,0.000138683
2,311.82,0.97519,4.37696,0.01519,0.44915,0.3874,0.34647,0.25542,0.94188,1.93413,0.02254,0.000272185,0.000272185,0.000272185
3,451.12,1.01844,3.32642,0.01624,0.47316,0.42948,0.429,0.3057,0.9793,1.79096,0.02293,0.000400182,0.000400182,0.000400182
4,580.547,1.04143,2.69286,0.01665,0.54728,0.50593,0.51116,0.36746,0.99003,1.58787,0.02374,0.00039223,0.00039223,0.00039223
5,709.862,1.02747,2.33331,0.01634,0.58726,0.49843,0.52253,0.37596,0.99052,1.57888,0.02368,0.000383974,0.000383974,0.000383974
6,828.275,1.02461,2.09421,0.01619,0.58644,0.5446,0.55862,0.40592,0.9771,1.48451,0.02291,0.000375717,0.000375717,0.000375717
7,941.904,1.03266,1.97808,0.01625,0.6122,0.56432,0.60762,0.43693,0.97823,1.39671,0.02317,0.00036746,0.00036746,0.00036746
8,1040.07,1.02313,1.85862,0.01625,0.63308,0.55586,0.61366,0.44424,0.97817,1.37089,0.02314,0.000359204,0.000359204,0.000359204
9,1137.82,1.02157,1.75966,0.01609,0.67443,0.58145,0.64066,0.46832,0.96557,1.32761,0.02252,0.000350947,0.000350947,0.000350947
10,1237.91,1.02032,1.70262,0.01616,0.70459,0.57478,0.65906,0.49038,0.95251,1.24822,0.02208,0.000342691,0.000342691,0.000342691
11,1335.92,0.9971,1.65061,0.01582,0.67459,0.59708,0.66502,0.49458,0.9506,1.24105,0.02217,0.000334434,0.000334434,0.000334434
12,1434.43,0.99273,1.59393,0.01545,0.71075,0.60069,0.67652,0.50229,0.94863,1.20095,0.02192,0.000326177,0.000326177,0.000326177
13,1532.86,0.99901,1.55007,0.01546,0.69509,0.62192,0.68054,0.50794,0.9579,1.19342,0.0223,0.000317921,0.000317921,0.000317921
14,1630.59,0.97048,1.52763,0.01525,0.6747,0.62415,0.67719,0.4999,0.97048,1.2117,0.02298,0.000309664,0.000309664,0.000309664
15,1729.44,0.99396,1.49245,0.01547,0.69466,0.62582,0.68577,0.51643,0.93755,1.176,0.02177,0.000301408,0.000301408,0.000301408
16,1827.39,0.97674,1.44956,0.01533,0.73006,0.6159,0.69327,0.51432,0.96433,1.17347,0.02275,0.000293151,0.000293151,0.000293151
17,1925.74,0.96168,1.43349,0.01494,0.71502,0.63981,0.69768,0.5265,0.92392,1.17396,0.02135,0.000284894,0.000284894,0.000284894
18,2023.78,0.96649,1.38573,0.01517,0.72969,0.61464,0.69282,0.51989,0.93821,1.15746,0.02165,0.000276638,0.000276638,0.000276638
19,2121.8,0.95762,1.37372,0.01496,0.73414,0.64094,0.72076,0.54679,0.91939,1.10966,0.02104,0.000268381,0.000268381,0.000268381
20,2220.41,0.95037,1.34563,0.01491,0.72266,0.65002,0.71893,0.54809,0.91956,1.10521,0.02117,0.000260125,0.000260125,0.000260125
21,2319.44,0.94826,1.34812,0.01485,0.74133,0.63587,0.71458,0.53912,0.9331,1.11051,0.02148,0.000251868,0.000251868,0.000251868
22,2417.72,0.94229,1.31167,0.01458,0.76784,0.64647,0.73004,0.55627,0.91382,1.10002,0.02086,0.000243611,0.000243611,0.000243611
23,2515.07,0.93387,1.28226,0.01456,0.7459,0.66003,0.73233,0.55294,0.92678,1.12437,0.02144,0.000235355,0.000235355,0.000235355
24,2613.52,0.93207,1.27903,0.01439,0.76189,0.63812,0.72925,0.5486,0.92638,1.1174,0.02142,0.000227098,0.000227098,0.000227098
25,2711.89,0.91904,1.23354,0.01419,0.76614,0.6583,0.7339,0.55602,0.91015,1.10534,0.02093,0.000218842,0.000218842,0.000218842
26,2832.33,0.9193,1.22519,0.01399,0.7406,0.6652,0.7369,0.56127,0.91788,1.07982,0.0209,0.000210585,0.000210585,0.000210585
27,2983.13,0.9152,1.20476,0.01432,0.75373,0.67717,0.74343,0.56649,0.89916,1.09067,0.02037,0.000202328,0.000202328,0.000202328
28,3100.53,0.90634,1.18674,0.01374,0.73221,0.6674,0.74109,0.5695,0.90284,1.06468,0.02055,0.000194072,0.000194072,0.000194072
29,3199.15,0.90048,1.16542,0.01384,0.7345,0.69158,0.73688,0.56061,0.90847,1.07358,0.02058,0.000185815,0.000185815,0.000185815
