frame,timestamp_sec,Cheetah,Crocodile,Deer,Elephant,Leopard,Squirrel,Tiger,Zebra
1,0.02,,,,4,,,,
2,0.03,,,,4,,,,
3,0.05,,,,5,,,,
4,0.07,,,,5,,,,
5,0.08,,,,5,,,,
6,0.1,,,,5,,,,
7,0.12,,,,5,,,,
8,0.13,,,,5,,,,
9,0.15,,,,5,,,,
10,0.17,,,,5,,,,
11,0.18,,,,5,,,,
12,0.2,,,,5,,,,
13,0.22,,,,5,,,,
14,0.23,,,,5,,,,
15,0.25,,,,6,,,,
16,0.27,,,,4,,,,
17,0.28,,,,5,,,,
18,0.3,,,,6,,,,
19,0.32,,,,4,,,,
20,0.33,,,,5,,,,
21,0.35,,,,5,,,,
22,0.37,,,,5,,,,
23,0.38,,,,5,,,,
24,0.4,,,,5,,,,
25,0.42,,,,5,,,,
26,0.43,,,,5,,,,
27,0.45,,,,5,,,,
28,0.47,,,,4,,,,
29,0.48,,,,4,,,,
30,0.5,,,,4,,,,
31,0.52,,,,4,,,,
32,0.53,,,,4,,,,
33,0.55,,,,4,,,,
34,0.57,,,,4,,,,
35,0.58,,,,4,,,,
36,0.6,,,,4,,,,
37,0.62,,,,4,,,,
38,0.63,,,,5,,,,
39,0.65,,,,5,,,,
40,0.67,,,,5,,,,
41,0.68,,,,5,,,,
42,0.7,,,,5,,,,
43,0.72,,,,5,,,,
44,0.73,,,,5,,,,
45,0.75,,,,4,,,,
46,0.77,,,,4,,,,
47,0.78,,,,4,,,,
48,0.8,,,,4,,,,
49,0.82,,,,4,,,,
50,0.83,,,,4,,,,
51,0.85,,,,4,,,,
52,0.87,,,,4,,,,
53,0.88,,,,4,,,,
54,0.9,,,,4,,,,
55,0.92,,,,4,,,,
56,0.93,,,,4,,,,
57,0.95,,,,4,,,,
58,0.97,,,,4,,,,
59,0.98,,,,3,,,,
60,1.0,,,,3,,,,
61,1.02,,,,3,,,,
62,1.03,,,,4,,,,
63,1.05,,,,4,,,,
64,1.07,,,,4,,,,
65,1.08,,,,4,,,,
66,1.1,,,,4,,,,
67,1.12,,,,4,,,,
68,1.13,,,,4,,,,
69,1.15,,,,4,,,,
70,1.17,,,,4,,,,
71,1.18,,,,4,,,,
72,1.2,,,,4,,,,
73,1.22,,,,4,,,,
74,1.23,,,,3,,,,
75,1.25,,,,3,,,,
76,1.27,,,,4,,,,
77,1.28,,,,4,,,,
78,1.3,,,,4,,,,
79,1.32,,,,3,,,,
80,1.33,,,,3,,,,
81,1.35,,,,4,,,,
82,1.37,,,,4,,,,
83,1.38,,,,3,,,,
84,1.4,,,,3,,,,
85,1.42,,,,3,,,,
86,1.43,,,,4,,,,
87,1.45,,,,4,,,,
88,1.47,,,,3,,,,
89,1.48,,,,4,,,,
90,1.5,,,,4,,,,
91,1.52,,,,3,,,,
92,1.53,,,,3,,,,
93,1.55,,,,4,,,,
94,1.57,,,,4,,,,
95,1.58,,,,4,,,,
96,1.6,,,,4,,,,
97,1.62,,,,4,,,,
98,1.63,,,,4,,,,
99,1.65,,,,5,,,,
100,1.67,,,,5,,,,
101,1.68,,,,5,,,,
102,1.7,,,,5,,,,
103,1.72,,,,4,,,,
104,1.73,,,,3,,,,
105,1.75,,,,4,,,,
106,1.77,,,,5,,,,
107,1.78,,,,5,,,,
108,1.8,,,,5,,,,
109,1.82,,,,5,,,,
110,1.83,,,,5,,,,
111,1.85,,,,4,,,,
112,1.87,,,,3,,,,
