Video Name,elephanttigercheetah
Total Unique Animals,42

Species,Count
Squirrel,1
Crocodile,0
Lizard,0
Elephant,9
Leopard,12
Cheetah,14
Deer,4
Giraffe,0
Snake,0
Monkey,0
Fox,0
Kangaroo,0
Lion,0
Tiger,1
Zebra,1
Rhinoceros,0
Bear,0
Panda,0
Hippopotamus,0
Otter,0

Species,Track ID,First Appearance (Sec)
Squirrel,23,10.48
Elephant,1,0.08
Elephant,2,0.08
Elephant,3,0.08
Elephant,4,0.08
Elephant,5,0.12
Elephant,8,1.72
Elephant,15,4.27
Elephant,16,4.95
Elephant,17,5.12
Leopard,34,14.92
Leopard,36,15.52
Leopard,37,15.83
Leopard,43,17.72
Leopard,44,17.78
Leopard,46,18.6
Leopard,50,21.02
Leopard,52,22.55
Leopard,54,22.53
Leopard,27,13.38
Leopard,30,14.02
Leopard,31,14.27
Cheetah,34,14.88
Cheetah,36,15.55
Cheetah,37,15.73
Cheetah,41,16.4
Cheetah,43,17.65
Cheetah,44,17.77
Cheetah,46,18.38
Cheetah,47,20.18
Cheetah,50,21.03
Cheetah,52,21.73
Cheetah,54,22.33
Cheetah,27,13.45
Cheetah,30,13.88
Cheetah,31,14.15
Deer,41,16.62
Deer,42,16.63
Deer,51,21.33
Deer,55,23.3
Tiger,22,6.47
Zebra,22,8.67
